"EmpNum","LastName","FirstName","Access","Position","Supervisor","Username","Password","Security Answer "
"10001","Garcia","Manuel III","Supervisor","Chief Executive Officer","N/A","MGarcia","Dog001","Dog"
"10002","Lim","Antonio","Supervisor","Chief Operating Officer","Garcia, Manuel III","ALim","Dog002","Dog"
"10003","Aquino","Bianca Sofia","Supervisor","Chief Finance Officer","Garcia, Manuel III","BAquino","Dog003","Dog"
"10004","Reyes","Isabella","Supervisor","Chief Marketing Officer","Garcia, Manuel III","IReyes","Dog004","Dog"
"10005","Hernandez","Eduard","IT","IT Operations and Systems","Lim, Antonio","EHernandez","Dog005","Dog"
"10006","Villanueva","Andrea Mae","Supervisor","HR Manager","Lim, Antonio","AVillanueva","Dog006","Dog"
"10007","San Jose","Brad","HR","HR Team Leader","Villanueva, Andrea Mae","BSanJose","Dog007","Dog"
"10008","Romualdez","Alice","HR","HR Rank and File","San Jose, Brad","ARomualdez","Dog008","Dog"
"10009","Atienza","Rosie","HR","HR Rank and File","San Jose, Brad","RAtienza","Dog009","Dog"
"10010","Alvaro","Roderick","HR","Accounting Head","Aquino, Bianca Sofia","RAlvaro","Dog010","Dog"
"10011","Salcedo","Anthony","Supervisor","Payroll Manager","Alvaro, Roderick","ASalcedo","Dog011","Dog"
"10012","Lopez","Josie","HR","Payroll Team Leader","Salcedo, Anthony","JLopez","Dog012","Dog"
"10013","Farala","Martha","HR","Payroll Rank and File","Salcedo, Anthony","MFarala","Cat013","Cat"
"10014","Martinez","Leila","HR","Payroll Rank and File","Salcedo, Anthony","LMartinez","Cat014","Cat"
"10015","Romualdez","Fredrick","Supervisor","Account Manager","Lim, Antonio","FRomualdez","Cat015","Cat"
"10016","Mata","Christian","Supervisor","Account Team Leader","Romualdez, Fredrick","CMata","Cat016","Cat"
"10017","De Leon","Selena","Supervisor","Account Team Leader","Romualdez, Fredrick","SDeLeon","Cat017","Cat"
"10018","San Jose","Allison","Employee","Account Rank and File","Mata, Christian","ASanJose","Cat018","Cat"
"10019","Rosario","Cydney","Employee","Account Rank and File","Mata, Christian","CRosario","Cat019","Cat"
"10020","Bautista","Mark","Employee","Account Rank and File","Mata, Christian","MBautista","Cat020","Cat"
"10021","Lazaro","Darlene","Employee","Account Rank and File","Mata, Christian","DLazaro","Cat021","Cat"
"10022","Delos Santos","Kolby","Employee","Account Rank and File","Mata, Christian","KDelosSantos","Cat022","Cat"
"10023","Santos","Vella","Employee","Account Rank and File","Mata, Christian","VSantos","Cat023","Cat"
"10024","Del Rosario","Tomas","Employee","Account Rank and File","Mata, Christian","TDelRosario","Cat024","Cat"
"10025","Tolentino","Jacklyn","Employee","Account Rank and File","De Leon, Selena","JTolentino","Cat025","Cat"
"10026","Gutierrez","Percival","Employee","Account Rank and File","De Leon, Selena","PGutierrez","Bird026","Bird"
"10027","Manalaysay","Garfield","Employee","Account Rank and File","De Leon, Selena","GManalaysay","Bird027","Bird"
"10028","Villegas","Lizeth","Employee","Account Rank and File","De Leon, Selena","LVillegas","Bird028","Bird"
"10029","Ramos","Carol","Employee","Account Rank and File","De Leon, Selena","CRamos","Bird029","Bird"
"10030","Maceda","Emelia","Employee","Account Rank and File","De Leon, Selena","EMaceda","Bird030","Bird"
"10031","Aguilar","Delia","Employee","Account Rank and File","De Leon, Selena","DAguilar","Bird031","Bird"
"10032","Castro","John Rafael","Employee","Sales & Marketing","Reyes, Isabella","JCastro","Bird032","Bird"
"10033","Martinez","Carlos Ian","Employee","Supply Chain and Logistics","Reyes, Isabella","CMartinez","Bird033","Bird"
"10034","Santos","Beatriz","Employee","Customer Service and Relations","Reyes, Isabella","BSantos","Bird034","Bird"
